"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price"
15201,2012,554.329507831044,40.9555810977535,140620,474.057352983593,634.601662678494,307281.203252207
15202,2012,453.056731911536,40.941544399136,140620,372.81208872464,533.301375098433,205260.402330362
15203,2012,542.609617248783,40.9856718215029,140620,462.278485158878,622.940749338689,294425.196730871
15204,2012,374.616186870177,40.9793875045384,140620,294.297371921207,454.935001819147,140337.287465151
15205,2012,440.53433859923,40.9355640106911,140620,360.30141685919,520.76726033927,194070.503485061
15206,2012,511.505942880908,40.9446902172771,140620,431.255133950683,591.756751811134,261638.329602487
15207,2012,434.223806790163,40.9645217285497,140620,353.934128477522,514.513485102804,188550.314383341
15208,2012,480.42523105563,40.9985539517268,140620,400.068850237117,560.781611874144,230808.402634856
15209,2012,450.044207743228,40.9592484807609,140620,369.764864895295,530.32355059116,202539.788923229
15210,2012,378.528303608341,40.9371865350345,140620,298.292201751651,458.764405465031,143283.676632608
15211,2012,490.608778347003,40.9694820382109,140620,410.309377922393,570.908178771614,240696.973391139
15212,2012,440.974200057858,40.9321831190902,140620,360.747904800628,521.200495315089,194458.245116668
15213,2012,552.298941524082,40.9708547492408,140620,471.996850612133,632.60103243603,305034.120808621
15214,2012,408.90563966509,40.9560231445343,140620,328.632618414412,489.178660915769,167203.822149917
15215,2012,513.881924433197,40.9565708668954,140620,433.607829657177,594.156019209216,264074.632259166
15216,2012,472.784741227781,40.9407431113027,140620,392.541668549697,553.027813905865,223525.41153782
15217,2012,597.250584677792,40.9422573697127,140620,517.004544082215,677.496625273369,356708.260897964
15218,2012,473.058896136625,40.9454677999981,140620,392.806563159153,553.311229114096,223784.719214002
15219,2012,430.889416739789,40.9981839990459,140620,350.533761021448,511.245072458131,185665.689458356
15220,2012,431.797350065336,40.9470963448018,140620,351.541825171228,512.052874959445,186448.951523447
15221,2012,403.09855133295,40.9247961951918,140620,322.886734305135,483.310368360764,162488.442086723
15222,2012,571.629858402246,41.3534326979051,140620,490.57792203546,652.681794769033,326760.695016972
15223,2012,450.524923091581,41.0026221216209,140620,370.160568737961,530.8892774452,202972.706326675
15224,2012,536.539006632421,40.9912874769155,140620,456.196867965419,616.881145299422,287874.105638105
15226,2012,447.914267124155,40.9502708554482,140620,367.652520249957,528.176013998354,200627.190693369
