"PROPERTYZIP.x","SALEYEAR","emmean","SE","df","lower.CL","upper.CL","adjusted_price","lower_ci","upper_ci"
15201,2012,546.010163350117,28.5764178187091,133470,490.000905701757,602.019420998478,298127.098481622,240100.887588542,362427.383259342
15202,2012,444.726365994892,28.5511962661845,133470,388.766542129401,500.686189860383,197781.540611023,151139.424279252,250686.660716907
15203,2012,532.07371727656,28.6001845483864,133470,476.017877271573,588.129557281547,283102.440616497,226593.019482134,345896.376148189
15204,2012,371.479630591235,28.5950933117494,133470,315.433769317185,427.525491865286,137997.115944201,99498.4628256469,182778.046194655
15205,2012,432.014668914539,28.5479030491659,133470,376.061299694331,487.968038134746,186636.674157339,141422.10112779,238112.806241073
15206,2012,511.853074658561,28.5603778708047,133470,455.875255015501,567.830894301621,261993.570037422,207822.248135448,322431.924523379
15207,2012,427.454429790324,28.5792468621589,133470,371.439627268408,483.469232312239,182717.289547371,137967.396705294,233742.498592586
15208,2012,493.880284949042,28.6298957401706,133470,437.766211550134,549.99435834795,243917.735861347,191639.255974956,302493.794214573
15209,2012,444.241781905005,28.5721760691492,133470,388.240838008406,500.242725801603,197350.760790134,150730.948297469,250242.784717418
15210,2012,374.400836177484,28.5497716399361,133470,318.443804553453,430.357867801515,140175.986130399,101406.456658478,185207.894378666
15211,2012,487.370919841402,28.584925112629,133470,431.344988052144,543.396851630659,237530.413507054,186058.498717704,295280.138362113
15212,2012,431.546188932219,28.5493930689929,133470,375.589899300331,487.502478564107,186232.113181922,141067.772456433,237658.666606148
15213,2012,544.034097287991,28.5809310587193,133470,488.015993771539,600.052200804443,295973.099011959,238159.610176823,360062.643690255
15214,2012,404.822347413307,28.5676780895326,133470,348.830219474707,460.814475351907,163881.132965221,121682.522018773,212349.980693854
15215,2012,505.18856888915,28.5695928566334,133470,449.19268804196,561.184449736339,255215.490136267,201774.070990362,314927.986625878
15216,2012,466.254650374528,28.5540062301719,133470,410.28931903088,522.219981718176,217393.398995873,168337.325310823,272713.709305732
15217,2012,583.545989876746,28.554801491678,133470,527.579099835052,639.512879918439,340525.922301231,278339.706582764,408976.723581576
15218,2012,466.413002170278,28.5653651733565,133470,410.425407505192,522.400596835364,217541.088593492,168449.015125803,272902.383573945
15219,2012,432.5095133615,28.6036765222089,133470,376.44682915152,488.572197571481,187064.479148202,141712.215178233,238702.792239826
15220,2012,426.849692505453,28.5614457114078,133470,370.86977991429,482.829605096616,182200.659992,137544.393653674,233124.427557755
15221,2012,402.805726964002,28.5427106761326,133470,346.862534700223,458.748919227781,162252.453674998,120313.617978664,210450.570892657
15222,2012,558.939487862779,28.9596168528271,133470,502.179167097667,615.699808627891,312413.351092306,252183.915866907,379086.254344422
15223,2012,443.784664340608,28.612342967531,133470,387.704994055885,499.864334625332,196944.828303906,150315.162415874,249864.353030425
15224,2012,531.396489223735,28.6120090473799,133470,475.317473416416,587.475505031053,282382.228759311,225926.700534966,345127.469011491
15226,2012,439.771483494789,28.5635224709113,133470,383.787500492882,495.755466496696,193398.957695207,147292.845534574,245773.482561356
15227,2012,421.521603237845,28.5383331855639,133470,365.586990775729,477.456215699961,177680.461996203,133653.847824453,227964.437910528
15228,2012,521.851867971488,28.5619383022589,133470,465.870989911242,577.832746031734,272329.372105331,217035.779240881,333890.682386574
15229,2012,467.759989217633,28.5614478840125,133470,411.780072368205,523.739906067062,218799.40751288,169562.827999564,274303.489207135
15232,2012,630.989273330508,28.6294540738817,133470,574.876065589469,687.102481071546,398147.463058162,330482.490787628,472109.819494675
15233,2012,462.514803837754,28.8643889746494,133470,405.941127976772,519.088479698735,213919.943769076,164788.199383054,269452.849755944
15234,2012,446.808810070658,28.5598986526329,133470,390.831929686473,502.785690454844,199638.112756758,152749.597262452,252793.450526154
15235,2012,366.413852387819,28.5272900810925,133470,310.500884209024,422.326820566613,134259.111221682,96410.7990945857,178359.943369904
15236,2012,438.226360800502,28.5334980517038,133470,382.301225112551,494.151496488452,192042.343300451,146154.226722558,244185.701481776
