"PROPERTYZIP.x","emmean","SE","df","lower.CL","upper.CL","adjusted_price","lower_ci","upper_ci"
"15201",610.739363281118,28.554677341591,133470,554.772716571331,666.706009990905,373002.569861025,307772.767051934,444496.903757993
"15202",509.455565925893,28.5289402114059,133470,453.539363521784,565.371768330001,259544.973652871,205697.954263745,319645.236424592
"15203",596.802917207561,28.57854868351,133470,540.789483103061,652.81635131206,356173.721987454,292453.265034876,426169.188540392
"15204",436.208830522236,28.5726449777556,133470,380.206967573322,492.21069347115,190278.143825577,144557.338191301,242271.36676735
"15205",496.743868845539,28.52634323072,133470,440.832756476203,552.654981214876,246754.471235634,194333.519182407,305427.528261615
"15206",576.582274589561,28.5387019299509,133470,520.646939395173,632.51760978395,332447.119370872,271073.235501561,400078.526686801
"15207",492.183629721324,28.5570050798764,133470,436.212420686959,548.15483875569,242244.725365657,190281.275961576,300473.727251276
"15208",558.609484880042,28.6081039519184,133470,502.538122988594,614.680846771491,312044.556597946,252544.565056899,377832.543387717
"15209",508.970981836005,28.5500862548054,133470,453.013333572569,564.928630099441,259051.460351107,205221.080394532,319144.357106031
"15210",439.130036108485,28.5275560512039,133470,383.216546633123,495.043525583846,192835.188612639,146854.921613417,245068.092222484
"15211",552.100119772402,28.5631300021506,133470,496.116906002107,608.083333542697,304814.542252701,246131.984421104,369765.340532399
"15212",496.275388863219,28.5274615882154,133470,440.362084533592,552.188693192846,246289.26159134,193918.765494771,304912.352890023
"15213",608.763297218991,28.5593557306056,133470,552.787480952076,664.739113485907,370592.752040938,305573.999097342,441878.088998029
"15214",469.551547344308,28.5455700796714,133470,413.602750701753,525.500343986863,220478.655613434,171067.235388056,276150.611530311
"15215",569.91776882015,28.5481059062444,133470,513.964002003769,625.871535636531,324806.263216938,264158.995355731,391715.179120029
"15216",530.983850305528,28.5321421439503,133470,475.061372172041,586.906328439016,281943.849285284,225683.307329983,344459.038361766
"15217",648.275189807746,28.5332297777405,133470,592.35057993187,704.199799683622,420260.721720269,350879.209545623,495897.357874453
"15218",531.142202101279,28.5436807938672,133470,475.197108424436,587.087295778121,282112.038852995,225812.291854946,344671.492864067
"15219",497.238713292501,28.581134227168,133470,441.220211569596,553.257215015406,247246.337996782,194675.275097519,306093.545966604
"15220",491.578892436454,28.5392821239142,133470,435.642420072481,547.515364800426,241649.807489051,189784.318166608,299773.074692544
"15221",467.534926895003,28.5200260627216,133470,411.636196059708,523.433657730297,218588.907866716,169444.357906507,273982.794044918
"15222",623.66868779378,28.938965140892,133470,566.948844007343,680.388531580217,388962.632134415,321430.991721262,462928.553905884
"15223",508.513864271609,28.590625018129,133470,452.476760771546,564.550967771672,258586.350156444,204735.219038311,318717.795211931
"15224",596.125689154735,28.5902973390856,133470,540.08922789962,652.16215040985,355365.837270208,291696.374093208,425315.4704272
"15226",504.500683425789,28.5410178782066,133470,448.560809015067,560.440557836512,254520.939577089,201206.799384251,314093.618868101
"15227",486.250803168845,28.5157253700451,133470,430.360501612746,542.141104724945,236439.843582347,185210.161348375,293916.977432383
"15228",586.581067902488,28.5405320326466,133470,530.642145740201,642.519990064776,344077.349221624,281581.086835764,412831.93763284
"15229",532.489189148634,28.5392972465787,133470,476.552687144515,588.425691152753,283544.73656017,227102.463624658,346244.794008595
"15232",695.718473261508,28.6079520650211,133470,639.647409065608,751.789537457409,484024.194037324,409148.807924345,565187.508630425
"15233",527.244003768754,28.8437683066266,133470,470.710744040946,583.777263496563,277986.239510106,221568.604555581,340795.893375535
"15234",511.538010001659,28.5383192324636,133470,455.603424887365,567.472595115953,261671.135676457,207574.480769097,322025.146207634
"15235",431.143052318819,28.5046708334927,133470,375.274417452711,487.011687184927,185884.331562788,140830.888394472,237180.383454709
"15236",502.955560731502,28.5116051574548,133470,447.073334716921,558.837786746083,252964.29607074,199874.566614908,312299.671895261
"15237",525.42101978045,28.4961535244604,133470,469.569078684677,581.272960876223,276067.248027128,220495.119656777,337878.255045811
"15238",559.15402292033,28.5137989470416,133470,503.267497118176,615.040548722483,312653.221347988,253278.173655594,378274.876572853
"15239",479.146706930575,28.5341341609874,133470,423.220324480032,535.073089381117,229581.566762414,179115.443052984,286303.210979853
"15241",524.124567870911,28.5250041839824,133470,468.216080008754,580.033055733068,274706.56264587,219226.297578764,336438.345743041
"15243",553.287087971452,28.5420364919543,133470,497.345217096364,609.228958846539,306126.601715929,247352.26496863,371159.924297238
