ZIP,num_arrests,zip_area,arrest_density
15003,51,1864559.6339074534,2.735230296341992e-05
15035,1,1917175.7030287848,5.216006015620707e-07
15046,1,10032198.865164842,9.967904478771202e-08
15065,1,56865540.9745307,1.758534224527797e-08
15090,1,99696452.73585321,1.0030447147899137e-08
15090,1,0.5542069143761239,1.8043802306683772
15104,2,12719335.439437902,1.5724091950580596e-07
15106,32,44242133.45531902,7.232924251340052e-07
15108,1,157480668.53596088,6.349985742990727e-09
15110,1,9007668.20934732,1.1101652245164769e-07
15112,13,3584782.028907411,3.6264408533542584e-06
15120,51,22314992.591980353,2.285458970680034e-06
15122,25,57908799.06296149,4.3171332171504173e-07
15132,8,28113223.80306171,2.845635938461369e-07
15133,1,15485682.702716976,6.45757774582679e-08
15136,17,49167378.456515685,3.457577063018529e-07
15137,2,35289845.76351891,5.667352624327738e-08
15144,3,11983015.128767673,2.503543530373994e-07
15145,9,9179516.782117415,9.804437655730275e-07
15146,5,86384276.50538896,5.788090382036229e-08
15147,3,45541032.05880615,6.587465993581711e-08
15201,1017,12786939.752413526,7.953427635475032e-05
15202,32,23624341.711320616,1.3545350973595946e-06
15203,3776,7734287.805875333,0.0004882156049496336
15204,1549,8865625.748115376,0.00017471975966606542
15205,725,61824266.81747618,1.1726786864135694e-05
15206,4555,22320128.426958106,0.00020407588670047708
15207,1793,22224059.009404317,8.06783314983674e-05
15208,4567,6661036.38221046,0.0006856290429815134
15209,2,21764624.635253064,9.189223492329462e-08
15210,5611,20949228.07374517,0.00026783803108392537
15211,1260,6966054.240657566,0.0001808771445743238
15212,9122,28224367.108561516,0.00032319590958101427
15213,1639,12263461.404967926,0.00013364905273286393
15214,2228,19213611.29514609,0.00011595946049782202
15215,70,26997929.863839842,2.5927913863409116e-06
15216,1157,15315456.231671566,7.554459903110064e-05
15217,1243,17769040.50041831,6.995312999431444e-05
15218,33,11100124.010648923,2.972939758901918e-06
15219,5057,12293778.296143211,0.00041134628250018756
15220,1124,22099388.504449755,5.086113580806457e-05
15221,1587,26670392.333171908,5.950418652170079e-05
15222,3466,5210395.232286956,0.0006652086541386414
15223,2,9362105.266890842,2.1362716429530176e-07
15224,1269,4454491.6307974225,0.00028488099320389326
15225,1,10519445.050830552,9.506204891683387e-08
15226,1478,11419202.286086924,0.00012943110761780486
15227,468,26903794.412083633,1.7395315799387815e-05
15228,1,13532492.407669256,7.38962173319433e-08
15231,5,24501015.085602485,2.0407317747982395e-07
15232,735,3727377.2852903847,0.00019718959035903958
15233,861,7516325.118776794,0.00011455065958351188
15234,158,15048745.207416719,1.0499214241605358e-05
15235,118,63347849.3450782,1.8627309564561876e-06
15236,9,51914682.73171861,1.7336135995494044e-07
15237,10,107398695.08083421,9.31110009527904e-08
15238,278,79702855.9007358,3.4879553167609088e-06
15241,34,44524703.91303547,7.636210241040108e-07
15275,1,6112280.373777836,1.63605060443575e-07
15282,1,43135.178367376204,2.3182934158360068e-05
15290,4,151563.02997787588,2.6391660291984743e-05
